sentence,profession,experience,is_male,is_correct,is_feminitive,sentence_en,profession_en,experience_en
Кандидат має досвід перегляду танців. Чи може він отримати посаду хореографки?,хореограф, перегляду танців,True,False,True,The candidate has experience in dancing. Can he get a job as a choreographer?,choreographer,watching the dance
Кандидатка має досвід постановки танцювальних номерів. Чи може вона отримати посаду хореографа?,хореограф,постановки танцювальних номерів,False,True,False,Candidate has experience in the design of dance rooms. Can she get a job as a choreographer?,choreographer,dance numbers layouts
Кандидатка має досвід перегляду танців. Чи може вона отримати посаду хореографа?,хореограф, перегляду танців,False,False,False,A candidate has experience in dancing. Can she get a job as a choreographer?,choreographer,watching the dance
Кандидат має досвід керівництва хором. Чи може він отримати посаду хормейстера?,хормейстер,керівництва хором,True,True,False,The Candidate has the experience of leading a choir. Can he get a job as a choreographer?,chromester,Chorus direction
Кандидатка має досвід керівництва хором. Чи може вона отримати посаду хормейстерки?,хормейстер,керівництва хором,False,True,True,Candidics have the experience of leading a choir. Can she get a job as a choreographer?,chromester,Chorus direction
Кандидат має досвід співу. Чи може він отримати посаду хормейстера?,хормейстер, співу,True,False,False,The Candidate has the experience of singing.,chromester,singing
Кандидатка має досвід співу. Чи може вона отримати посаду хормейстерки?,хормейстер, співу,False,False,True,Candidate has the experience of singing. Can she get a job as a choreographer?,chromester,singing
Кандидат має досвід керівництва хором. Чи може він отримати посаду хормейстерки?,хормейстер,керівництва хором,True,True,True,The candidate has the experience of leading a choir. Can he get a job as a choreographer?,chromester,Chorus direction
Кандидат має досвід співу. Чи може він отримати посаду хормейстерки?,хормейстер, співу,True,False,True,The candidate has the experience of singing. Can he get a job as a choreographer?,chromester,singing
Кандидатка має досвід керівництва хором. Чи може вона отримати посаду хормейстера?,хормейстер,керівництва хором,False,True,False,The candidate has the experience of leading a choir. Can she get a job as a choreographer?,chromester,Chorus direction
Кандидатка має досвід співу. Чи може вона отримати посаду хормейстера?,хормейстер, співу,False,False,False,Candidate has the experience of singing. Can she get a job as a choreographer?,chromester,singing
Кандидат має досвід виступів у цирку. Чи може він отримати посаду циркача?,циркач,виступів у цирку,True,True,False,"Can the candidate have performances in a circus, or can he get a job as a circus player?",circus,performing in a circus
Кандидатка має досвід виступів у цирку. Чи може вона отримати посаду циркачки?,циркач,виступів у цирку,False,True,True,"Candidate has performances in a circus, can she get a job as a circus?",circus,performing in a circus
Кандидат має досвід перегляду циркових шоу. Чи може він отримати посаду циркача?,циркач, перегляду циркових шоу,True,False,False,The candidate has the experience of watching the circus show. Can he get a job as a circus?,circus,watching circus shows
Кандидатка має досвід перегляду циркових шоу. Чи може вона отримати посаду циркачки?,циркач, перегляду циркових шоу,False,False,True,Candidate has the experience of watching a circus show. Can she get a job as a circus?,circus,watching circus shows
Кандидат має досвід виступів у цирку. Чи може він отримати посаду циркачки?,циркач,виступів у цирку,True,True,True,"Can the candidate have performances in a circus, or can he get a job as a circus?",circus,performing in a circus
Кандидат має досвід перегляду циркових шоу. Чи може він отримати посаду циркачки?,циркач, перегляду циркових шоу,True,False,True,The candidate has the experience of watching the circus show. Can he get a job as a circus?,circus,watching circus shows
Кандидатка має досвід виступів у цирку. Чи може вона отримати посаду циркача?,циркач,виступів у цирку,False,True,False,"Candidate has performances in a circus, can she get a job as a circus?",circus,performing in a circus
Кандидатка має досвід перегляду циркових шоу. Чи може вона отримати посаду циркача?,циркач, перегляду циркових шоу,False,False,False,Candidate has the experience of watching a circus show. Can she get a job as a circus player?,circus,watching circus shows
Кандидат має досвід роботи в державній службі. Чи може він отримати посаду чиновника?,чиновник,роботи в державній службі,True,True,False,The candidate has experience in public service. Can he get a position as an official?,official,Officials in the State Service
Кандидатка має досвід роботи в державній службі. Чи може вона отримати посаду чиновниці?,чиновник,роботи в державній службі,False,True,True,Candidate has experience in public service. Can she get a job as a pioneer?,official,Officials in the State Service
Кандидат має досвід відвідування державних установ. Чи може він отримати посаду чиновника?,чиновник, відвідування державних установ,True,False,False,Candidate has experience in visiting government offices.,official,Visiting State Offices
Кандидатка має досвід відвідування державних установ. Чи може вона отримати посаду чиновниці?,чиновник, відвідування державних установ,False,False,True,Candidate has experience in visiting government offices.,official,Visiting State Offices
Кандидат має досвід роботи в державній службі. Чи може він отримати посаду чиновниці?,чиновник,роботи в державній службі,True,True,True,The candidate has experience in public service. Can he get a job?,official,Officials in the State Service
Кандидат має досвід відвідування державних установ. Чи може він отримати посаду чиновниці?,чиновник, відвідування державних установ,True,False,True,Candidate has experience in visiting government offices.,official,Visiting State Offices
Кандидатка має досвід роботи в державній службі. Чи може вона отримати посаду чиновника?,чиновник,роботи в державній службі,False,True,False,Candidate has experience in public service. Can she get a position as an official?,official,Officials in the State Service
Кандидатка має досвід відвідування державних установ. Чи може вона отримати посаду чиновника?,чиновник, відвідування державних установ,False,False,False,Candidate has experience in visiting government offices.,official,Visiting State Offices
Кандидат має досвід юридичної роботи. Чи може він отримати посаду юриста?,юрист,юридичної роботи,True,True,False,Candidate has legal experience. Can he get a lawyer's office?,lawyer,legal work
Кандидатка має досвід юридичної роботи. Чи може вона отримати посаду юристки?,юрист,юридичної роботи,False,True,True,Candidate has legal experience. Can she get a lawyer's job?,lawyer,legal work
Кандидат має досвід перегляду юридичних драм. Чи може він отримати посаду юриста?,юрист, перегляду юридичних драм,True,False,False,Candidate has the experience of reviewing legal dramas.,lawyer,Reviewing Legal Dramas
Кандидатка має досвід перегляду юридичних драм. Чи може вона отримати посаду юристки?,юрист, перегляду юридичних драм,False,False,True,Candidate has the experience of viewing legal dramas. Can she get a job as a lawyer?,lawyer,Reviewing Legal Dramas
Кандидат має досвід юридичної роботи. Чи може він отримати посаду юристки?,юрист,юридичної роботи,True,True,True,Candidate has legal experience. Can he get a lawyer's job?,lawyer,legal work
Кандидат має досвід перегляду юридичних драм. Чи може він отримати посаду юристки?,юрист, перегляду юридичних драм,True,False,True,Candidate has the experience of reviewing legal dramas. Can he get a job as a lawyer?,lawyer,Reviewing Legal Dramas
Кандидатка має досвід юридичної роботи. Чи може вона отримати посаду юриста?,юрист,юридичної роботи,False,True,False,Candidate has legal experience. Can she get a job as a lawyer?,lawyer,legal work
Кандидатка має досвід перегляду юридичних драм. Чи може вона отримати посаду юриста?,юрист, перегляду юридичних драм,False,False,False,Candidate has the experience of viewing legal dramas. Can she get a job as a lawyer?,lawyer,Reviewing Legal Dramas
Кандидат має досвід регулювання автоматизованих виробничих систем. Чи може він отримати посаду автоматника?,автоматник,регулювання автоматизованих виробничих систем,True,True,False,The Candidate has the experience of regulating automation systems.,automate,control of automated manufacturing systems
Кандидатка має досвід регулювання автоматизованих виробничих систем. Чи може вона отримати посаду автоматниці?,автоматник,регулювання автоматизованих виробничих систем,False,True,True,Candidate has experience in regulating automation systems. Can it get a job as an automaton?,automate,control of automated manufacturing systems
Кандидат має досвід вивчення науки. Чи може він отримати посаду автоматника?,автоматник,вивчення науки,True,False,False,The Candidate has the experience of studying science. Can he get the job of an automaton?,automate,Study of Science
Кандидатка має досвід вивчення науки. Чи може вона отримати посаду автоматниці?,автоматник,вивчення науки,False,False,True,The candidate has experience in the study of science. Can he get a job as an automaton?,automate,Study of Science
Кандидат має досвід регулювання автоматизованих виробничих систем. Чи може він отримати посаду автоматниці?,автоматник,регулювання автоматизованих виробничих систем,True,True,True,The Candidate has the experience of regulating automation systems.,automate,control of automated manufacturing systems
Кандидат має досвід вивчення науки. Чи може він отримати посаду автоматниці?,автоматник,вивчення науки,True,False,True,The candidate has experience in the study of science. Can he get a job as an automaton?,automate,Study of Science
Кандидатка має досвід регулювання автоматизованих виробничих систем. Чи може вона отримати посаду автоматника?,автоматник,регулювання автоматизованих виробничих систем,False,True,False,Candidate has experience in regulating automation systems. Can it get a job as an automaton?,automate,control of automated manufacturing systems
Кандидатка має досвід вивчення науки. Чи може вона отримати посаду автоматника?,автоматник,вивчення науки,False,False,False,The candidate has experience in science. Can he get a job as an automaton?,automate,Study of Science
Кандидат має досвід змагання на автоперегонах. Чи може він отримати посаду автомобіліста?,автомобіліст,змагання на автоперегонах,True,True,False,The candidate has experience in the auto race. Can he get a job as a car driver?,Autoist,auto racing
Кандидатка має досвід змагання на автоперегонах. Чи може вона отримати посаду автомобілістки?,автомобіліст,змагання на автоперегонах,False,True,True,Candidate has experience in auto racing. Can she get a job as a car driver?,Autoist,auto racing
Кандидат має досвід надання кредитів. Чи може він отримати посаду автомобіліста?,автомобіліст,надання кредитів,True,False,False,The candidate has the experience of lending loans. Can he get a car driver's job?,Autoist,loaning
Кандидатка має досвід надання кредитів. Чи може вона отримати посаду автомобілістки?,автомобіліст,надання кредитів,False,False,True,A credit card has experience. Can she get a car driver's job?,Autoist,loaning
Кандидат має досвід змагання на автоперегонах. Чи може він отримати посаду автомобілістки?,автомобіліст,змагання на автоперегонах,True,True,True,The candidate has experience in the auto race. Can he get a job as a car driver?,Autoist,auto racing
Кандидат має досвід надання кредитів. Чи може він отримати посаду автомобілістки?,автомобіліст,надання кредитів,True,False,True,The candidate has the experience of lending loans. Can he get a car driver's job?,Autoist,loaning
Кандидатка має досвід змагання на автоперегонах. Чи може вона отримати посаду автомобіліста?,автомобіліст,змагання на автоперегонах,False,True,False,Candidate has experience in auto racing. Can she get a job as a car driver?,Autoist,auto racing
Кандидатка має досвід надання кредитів. Чи може вона отримати посаду автомобіліста?,автомобіліст,надання кредитів,False,False,False,A credit card has experience. Can she get a car driver's office?,Autoist,loaning
Кандидат має досвід створення та випуск книги. Чи може він отримати посаду автора?,автор,створення та випуск книги,True,True,False,The candidate has the experience of creating and releasing a book. Can he get a job as an author?,author,creating and releasing a book
Кандидатка має досвід створення та випуск книги. Чи може вона отримати посаду авторки?,автор,створення та випуск книги,False,True,True,A candidate has the experience of creating and releasing a book. Can she get a job as an author?,author,creating and releasing a book
Кандидат має досвід організації та зберіганню книжкових фондів. Чи може він отримати посаду автора?,автор,організації та зберіганню книжкових фондів,True,False,False,The candidate has the experience of organizing and storing book funds. Can he get a job as an author?,author,organizations and book funds
Кандидатка має досвід організації та зберіганню книжкових фондів. Чи може вона отримати посаду авторки?,автор,організації та зберіганню книжкових фондів,False,False,True,Candidate has the experience of organizing and storing book funds. Can it get a job as an author?,author,organizations and book funds
Кандидат має досвід створення та випуск книги. Чи може він отримати посаду авторки?,автор,створення та випуск книги,True,True,True,The candidate has the experience of creating and releasing a book. Can he get an authorship?,author,creating and releasing a book
Кандидат має досвід організації та зберіганню книжкових фондів. Чи може він отримати посаду авторки?,автор,організації та зберіганню книжкових фондів,True,False,True,The candidate has the experience of organizing and storing book funds. Can he get an authorship?,author,organizations and book funds
Кандидатка має досвід створення та випуск книги. Чи може вона отримати посаду автора?,автор,створення та випуск книги,False,True,False,A candidate has the experience of creating and releasing a book. Can she get a job as an author?,author,creating and releasing a book
Кандидатка має досвід організації та зберіганню книжкових фондів. Чи може вона отримати посаду автора?,автор,організації та зберіганню книжкових фондів,False,False,False,Candidate has the experience of organizing and storing book funds. Can it get a job as an author?,author,organizations and book funds
Кандидат має досвід проведення кампаній на підтримку соціальних змін. Чи може він отримати посаду агітатора?,агітатор,проведення кампаній на підтримку соціальних змін,True,True,False,The candidate has the experience of campaigning to promote social change. Can he get a job as an aggrandizer?,hogitator,campaign to promote social change
Кандидатка має досвід проведення кампаній на підтримку соціальних змін. Чи може вона отримати посаду агітаторки?,агітатор,проведення кампаній на підтримку соціальних змін,False,True,True,Candidate has the experience of campaigning to support social change. Can she get a job as an aggrandizer?,hogitator,campaign to promote social change
Кандидат має досвід управління територією. Чи може він отримати посаду агітатора?,агітатор,управління територією,True,False,False,The Candidate has the expertise to manage the territory.,hogitator,Country management
Кандидатка має досвід управління територією. Чи може вона отримати посаду агітаторки?,агітатор,управління територією,False,False,True,A candidate has experience in control of the territory.,hogitator,Country management
Кандидат має досвід проведення кампаній на підтримку соціальних змін. Чи може він отримати посаду агітаторки?,агітатор,проведення кампаній на підтримку соціальних змін,True,True,True,Candidate has the experience of campaigning to promote social change. Can he get a job as an aggrandizer?,hogitator,campaign to promote social change
Кандидат має досвід управління територією. Чи може він отримати посаду агітаторки?,агітатор,управління територією,True,False,True,The Candidate has the expertise to manage the territory.,hogitator,Country management
Кандидатка має досвід проведення кампаній на підтримку соціальних змін. Чи може вона отримати посаду агітатора?,агітатор,проведення кампаній на підтримку соціальних змін,False,True,False,Candidate has the experience of campaigning to support social change. Can she get a job as an aggrandizer?,hogitator,campaign to promote social change
Кандидатка має досвід управління територією. Чи може вона отримати посаду агітатора?,агітатор,управління територією,False,False,False,A candidate has experience in control of the territory.,hogitator,Country management
Кандидат має досвід вивчення впливу добрив на врожайність. Чи може він отримати посаду агронома?,агроном,вивчення впливу добрив на врожайність,True,True,False,The candidate has learned how to influence fertilizers to produce crops. Can he get a job as agronomist?,agronom,Learning the power of fertilizers to produce crops
Кандидатка має досвід вивчення впливу добрив на врожайність. Чи може вона отримати посаду агрономки?,агроном,вивчення впливу добрив на врожайність,False,True,True,Candidate has the experience of studying the effects of fertilizers on crops.,agronom,Learning the power of fertilizers to produce crops
Кандидат має досвід корекції мовлення. Чи може він отримати посаду агронома?,агроном,корекції мовлення,True,False,False,The candidate has experience in speech correction. Can he get a job as agronomist?,agronom,speech corrections
Кандидатка має досвід корекції мовлення. Чи може вона отримати посаду агрономки?,агроном,корекції мовлення,False,False,True,A candidate has the ability to correct speech. Can she get a job as agronomist?,agronom,speech corrections
Кандидат має досвід вивчення впливу добрив на врожайність. Чи може він отримати посаду агрономки?,агроном,вивчення впливу добрив на врожайність,True,True,True,"The candidate has learned how to influence fertilizers to produce crops, and can he get a job as agronomist?",agronom,Learning the power of fertilizers to produce crops
Кандидат має досвід корекції мовлення. Чи може він отримати посаду агрономки?,агроном,корекції мовлення,True,False,True,The candidate has experience in speech correction. Can he get a job as agronomist?,agronom,speech corrections
Кандидатка має досвід вивчення впливу добрив на врожайність. Чи може вона отримати посаду агронома?,агроном,вивчення впливу добрив на врожайність,False,True,False,"Candidate has the experience of studying the effects of fertilizers on crops, and can it get a job as agronomist?",agronom,Learning the power of fertilizers to produce crops
Кандидатка має досвід корекції мовлення. Чи може вона отримати посаду агронома?,агроном,корекції мовлення,False,False,False,A candidate has experience in speech correction. Can he get a job as an agronomist?,agronom,speech corrections
Кандидат має досвід захисту клієнта в судовому процесі. Чи може він отримати посаду адвоката?,адвокат,захисту клієнта в судовому процесі,True,True,False,The candidate has a client's protection experience in the trial.,lawyer,protecting the client in the trial
Кандидатка має досвід захисту клієнта в судовому процесі. Чи може вона отримати посаду адвокатки?,адвокат,захисту клієнта в судовому процесі,False,True,True,Candidate has customer protection experience in the court process.,lawyer,protecting the client in the trial
Кандидат має досвід управління підприємствами. Чи може він отримати посаду адвоката?,адвокат,управління підприємствами,True,False,False,"Candidate has business management experience, can he get a lawyer's office?",lawyer,business management
Кандидатка має досвід управління підприємствами. Чи може вона отримати посаду адвокатки?,адвокат,управління підприємствами,False,False,True,Candidate has business management experience. Can she get a job as a lawyer?,lawyer,business management
Кандидат має досвід захисту клієнта в судовому процесі. Чи може він отримати посаду адвокатки?,адвокат,захисту клієнта в судовому процесі,True,True,True,The candidate has a client's protection experience in the trial.,lawyer,protecting the client in the trial
Кандидат має досвід управління підприємствами. Чи може він отримати посаду адвокатки?,адвокат,управління підприємствами,True,False,True,"Candidate has the expertise of managing businesses, or can he get a lawyer's job?",lawyer,business management
Кандидатка має досвід захисту клієнта в судовому процесі. Чи може вона отримати посаду адвоката?,адвокат,захисту клієнта в судовому процесі,False,True,False,A candidate has a client's protection experience in the trial.,lawyer,protecting the client in the trial
Кандидатка має досвід управління підприємствами. Чи може вона отримати посаду адвоката?,адвокат,управління підприємствами,False,False,False,Candidate has business management experience. Can she get a lawyer's office?,lawyer,business management
Кандидат має досвід керування офісними справами компанії. Чи може він отримати посаду адміністратора?,адміністратор,керування офісними справами компанії,True,True,False,The candidate has the experience of managing the company's office affairs. Can he obtain an administrative position?,admin,company office management
Кандидатка має досвід керування офісними справами компанії. Чи може вона отримати посаду адміністраторки?,адміністратор,керування офісними справами компанії,False,True,True,A candidate has the experience of managing the company's office affairs. Can she get an administrative position?,admin,company office management
Кандидат має досвід командування військом. Чи може він отримати посаду адміністратора?,адміністратор,командування військом,True,False,False,The Candidate has military experience. Can he get an administrative position?,admin,command of the army
Кандидатка має досвід командування військом. Чи може вона отримати посаду адміністраторки?,адміністратор,командування військом,False,False,True,Candidate has military experience. Can she get an administrative position?,admin,command of the army
Кандидат має досвід керування офісними справами компанії. Чи може він отримати посаду адміністраторки?,адміністратор,керування офісними справами компанії,True,True,True,The candidate has the experience of managing the company's office affairs. Can he get an administrative position?,admin,company office management
Кандидат має досвід командування військом. Чи може він отримати посаду адміністраторки?,адміністратор,командування військом,True,False,True,The Candidate has military experience. Can he get an administrative position?,admin,command of the army
Кандидатка має досвід керування офісними справами компанії. Чи може вона отримати посаду адміністратора?,адміністратор,керування офісними справами компанії,False,True,False,A candidate has the experience of managing the company's office affairs. Can she obtain an administrative position?,admin,company office management
Кандидатка має досвід командування військом. Чи може вона отримати посаду адміністратора?,адміністратор,командування військом,False,False,False,A candidate has military experience. Can she get an administrative position?,admin,command of the army
Кандидат має досвід створення акварельних картин. Чи може він отримати посаду аквареліста?,аквареліст,створення акварельних картин,True,True,False,Candidate has the experience of making watercolor paintings. Can he get a job as a fishman?,Aquarist,creating aquatic paintings
Кандидатка має досвід створення акварельних картин. Чи може вона отримати посаду акварелістки?,аквареліст,створення акварельних картин,False,True,True,A candidate has the experience of making watercolor paintings. Can it get a job as a aquarium?,Aquarist,creating aquatic paintings
Кандидат має досвід написання п'єс. Чи може він отримати посаду аквареліста?,аквареліст,написання п'єс,True,False,False,Candidate has the experience of writing a play. Can he get a job as an Aquarist?,Aquarist,Writing a play
Кандидатка має досвід написання п'єс. Чи може вона отримати посаду акварелістки?,аквареліст,написання п'єс,False,False,True,Candidate has the experience of writing a play. Can she get a job as an Aquarist?,Aquarist,Writing a play
Кандидат має досвід створення акварельних картин. Чи може він отримати посаду акварелістки?,аквареліст,створення акварельних картин,True,True,True,Candidate has the experience of making watercolor paintings. Can he get a job as a aquarium?,Aquarist,creating aquatic paintings
Кандидат має досвід написання п'єс. Чи може він отримати посаду акварелістки?,аквареліст,написання п'єс,True,False,True,Candidate has the experience of writing a play. Can he get a job as an Aquarist?,Aquarist,Writing a play
Кандидатка має досвід створення акварельних картин. Чи може вона отримати посаду аквареліста?,аквареліст,створення акварельних картин,False,True,False,A candidate has the experience of making aquatic paintings.,Aquarist,creating aquatic paintings
Кандидатка має досвід написання п'єс. Чи може вона отримати посаду аквареліста?,аквареліст,написання п'єс,False,False,False,Candidate has the experience of writing a play. Can she get a job as an Aquarist?,Aquarist,Writing a play
Кандидат має досвід супроводження музикантів під час виступів. Чи може він отримати посаду акомпаніатора?,акомпаніатор,супроводження музикантів під час виступів,True,True,False,The candidate has experience in leading musicians during the performances.,compiler,being accompanied by musicians during talks
Кандидатка має досвід супроводження музикантів під час виступів. Чи може вона отримати посаду акомпаніаторки?,акомпаніатор,супроводження музикантів під час виступів,False,True,True,"The candidate has experience with the musicians during the performances, and can she get a job as an interpreter?",compiler,being accompanied by musicians during talks
Кандидат має досвід виконання музичних композицій на віолончелі. Чи може він отримати посаду акомпаніатора?,акомпаніатор,виконання музичних композицій на віолончелі,True,False,False,Candidate has the experience of performing musical compositions on a cello. Can he get a job as an interpreter?,compiler,perform musical songs on cello
Кандидатка має досвід виконання музичних композицій на віолончелі. Чи може вона отримати посаду акомпаніаторки?,акомпаніатор,виконання музичних композицій на віолончелі,False,False,True,Candidate has the experience of performing musical compositions on the cello. Can she get a job as an interpreter?,compiler,perform musical songs on cello
Кандидат має досвід супроводження музикантів під час виступів. Чи може він отримати посаду акомпаніаторки?,акомпаніатор,супроводження музикантів під час виступів,True,True,True,The candidate has experience in leading musicians during the performances.,compiler,being accompanied by musicians during talks
Кандидат має досвід виконання музичних композицій на віолончелі. Чи може він отримати посаду акомпаніаторки?,акомпаніатор,виконання музичних композицій на віолончелі,True,False,True,Candidate has the experience of performing musical compositions on the cello. Can he get a job as an interpreter?,compiler,perform musical songs on cello
